Collection Date,Locale,Grower,Sample Type,Acreage ,~Observed Q,Collected Q,Sample(s),Sample ID,,Sample Code,,Virus Infection ,Ilumina Sequencing,Comments,TRNA,TDNA,PCR Screening,PMMoV,BCTV,CMV,AMV,TYLCV,PYDV,BWYV,PepYDV,Begomovirus,MCDV,Cap. Actin,BPEV,Pepper Cryptic,BCRSV
8/5/2021,oaks,mike,pepper_leaf,4,50-60,6,1,CH1,,F1,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/5/2021,oaks,mike,pepper_leaf,4,50-60,6,2,CH2,,F2,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/5/2021,oaks,mike,pepper_leaf,4,50-60,6,3,CH3,,F3,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/5/2021,oaks,mike,pepper_leaf,4,50-60,6,4,CH4,,F4,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/5/2021,oaks,mike,pepper_leaf,4,50-60,6,5,CH5,,F5,,,,,1,0, ,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/5/2021,oaks,mike,pepper_leaf,4,50-60,6,6,CH6,,F6,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,PMMoV,BCTV,CMV,AMV,TYLCV,PYDV,BWYV,PepYDV,Begomovirus,MCDV,Cap. Actin,BPEV,Pepper Cryptic,BCRSV
8/17/2021,Layne,jim_shiply,pepper_leaf,N/A,5+,3,7,AK1,,F7,,,,,1,0,,0,0,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/17/2021,Layne,jim_shiply,pepper_leaf,N/A,5+,3,8,AK2,,F8,,,,,1,0,,0,0,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/17/2021,Layne,jim_shiply,pepper_leaf,N/A,5+,3,9,AK3,,F9,,,,,1,0,,0,0,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,PMMoV,BCTV,CMV,AMV,TYLCV,PYDV,BWYV,PepYDV,Begomovirus,MCDV,Cap. Actin,BPEV,Pepper Cryptic,BCRSV
8/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,24,10,CO1,,F10,,"AMV, CMV",Round_1,,1,0,,0,N/A,,1,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,24,11,CO2,,F11,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,24,12,CO3,,F12,,,Round_2,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,24,13,CO4,,F13,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,24,14,CO5,,F14,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,24,15,CO6,,F15,,"PMMoV, AMV, CMV",Round_1,,1,0,,1,N/A,,1,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,24,16,CO7,,F16,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,24,17,CO8,,F17,,PMMoV,,,1,0,,1,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,24,18,CO9,,F18,,PMMoV,,,1,0,,1,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,24,19,CO10,,F19,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,24,20,CO11,,F20,,PMMoV,,,1,0,,1,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,24,21,CO12,,F21,,PMMoV,,,1,0,,1,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,24,22,CO13,,F22,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,24,23,CO14,,F23,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,24,24,CO15,,F24,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,24,25,CO16,,F25,,AMV,Round_1,,1,0,,0,N/A,,1,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,24,26,CO17,,F26,,"PMMoV, CMV, AMV",Round_1,,1,0,,1,N/A,,0,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,24,27,CO19,,F27,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,24,28,CO20,,F28,,PMMoV,,,1,0,,1,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,24,29,CO21,,F29,,"PMMoV, AMV ",Round_1,,1,0,,1,N/A,,0,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,24,30,CO22,,F30,,AMV,Round_1,,1,0,,0,N/A,,1,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,24,31,CO23,,F31,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,24,32,CO24,,F32,,"BCTV, PepYDV",Round_2,,1,1,,0,0,,C,C,C,C,C,N/A,N/A,N/A,N/A,N/A,N/A
8/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,24,33,CO25,,F33,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,PMMoV,BCTV,CMV,AMV,TYLCV,PYDV,BWYV,PepYDV,Begomovirus,MCDV,Cap. Actin,BPEV,Pepper Cryptic,BCRSV
9/15/2021,Bixby,glenn,pepper_leaf,10-20,50-60,14,34,BX1,,F34,,,,,1,1,,0,,,C,0,C,C,0,N/A,N/A,N/A,N/A,N/A,N/A
9/15/2021,Bixby,glenn,pepper_leaf,10-20,50-60,14,35,BX2,,F35,,,,,1,1,,0,,,C,0,C,C,0,N/A,N/A,N/A,N/A,N/A,N/A
9/15/2021,Bixby,glenn,pepper_leaf,10-20,50-60,14,36,BX3,,F36,,,,,1,1,,0,,,C,0,C,C,0,N/A,N/A,N/A,N/A,N/A,N/A
9/15/2021,Bixby,glenn,pepper_leaf,10-20,50-60,14,37,BX4,,F37,,,,,1,1,,0,,,C,0,C,C,0,N/A,N/A,N/A,N/A,N/A,N/A
9/15/2021,Bixby,glenn,pepper_leaf,10-20,50-60,14,38,BX5,,F38,,TYLCV,,,1,1,,0,,,C,1,C,C,0,N/A,N/A,N/A,N/A,N/A,N/A
9/15/2021,Bixby,glenn,pepper_leaf,10-20,50-60,14,39,BX6,,F39,,"BPEV, TYLCV",Round_1,,1,1,,0,,,C,1,C,C,0,N/A,N/A,N/A,N/A,N/A,N/A
9/15/2021,Bixby,glenn,pepper_leaf,10-20,50-60,14,40,BX7,,F40,,,,,1,1,,0,,,C,0,C,C,0,N/A,N/A,N/A,N/A,N/A,N/A
9/15/2021,Bixby,glenn,pepper_leaf,10-20,50-60,14,41,BX8,,F41,,,,,1,1,,0,,,C,0,C,C,0,N/A,N/A,N/A,N/A,N/A,N/A
9/15/2021,Bixby,glenn,pepper_leaf,10-20,50-60,14,42,BX9,,F42,,TYLCV,,,1,1,,0,,,C,1,C,C,0,N/A,N/A,N/A,N/A,N/A,N/A
9/15/2021,Bixby,glenn,tomato_leaf,10-20,50-60,14,43,BX10,,F43,,TYLCV,,,1,1,,0,0,,C,1,C,C,0,N/A,N/A,N/A,N/A,N/A,N/A
9/15/2021,Bixby,glenn,tomato_leaf,10-20,50-60,14,44,BX11,,F44,,TLYCV,Round_1,,1,1,,0,0,,C,1,C,C,0,N/A,N/A,N/A,N/A,N/A,N/A
9/15/2021,Bixby,glenn,tomato_leaf,10-20,50-60,14,45,BX12,,F45,,TYLCV,,,1,1,,0,0,,C,1,C,C,0,N/A,N/A,N/A,N/A,N/A,N/A
9/15/2021,Bixby,glenn,tomato_leaf,10-20,50-60,14,46,BX13,,F46,,TYLCV,,,1,1,,0,0,,C,1,C,C,0,N/A,N/A,N/A,N/A,N/A,N/A
9/15/2021,Bixby,glenn,tomato_leaf,10-20,50-60,14,47,BX14,,F47,,TYLCV,,,1,1,,0,0,,C,1,C,C,0,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,PMMoV,BCTV,CMV,AMV,TYLCV,PYDV,BWYV,PepYDV,Begomovirus,MCDV,Cap. Actin,BPEV,Pepper Cryptic,BCRSV
9/22/2021,hydro,dean_smith,pepper_leaf,600,1000+,17,48,CO1,,F48,,,Round_1,,1,1,,0,0,,C,0,C,C,C,N/A,N/A,N/A,N/A,N/A,N/A
9/22/2021,hydro,dean_smith,pepper_leaf,600,1000+,17,49,CO2,,F49,,,,,1,1,,0,0,,C,0,C,C,C,N/A,N/A,N/A,N/A,N/A,N/A
9/22/2021,hydro,dean_smith,pepper_leaf,600,1000+,17,50,CO3,,F50,,PMMoV,,,1,0,,1,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/22/2021,hydro,dean_smith,pepper_leaf,600,1000+,17,51,CO4,,F51,,PMMoV,,,1,1,,1,0,,C,0,C,C,C,N/A,N/A,N/A,N/A,N/A,N/A
9/22/2021,hydro,dean_smith,pepper_leaf,600,1000+,17,52,CO5,,F52,,PMMoV,,,1,1,,1,0,,C,N/A,C,C,C,N/A,N/A,N/A,N/A,N/A,N/A
9/22/2021,hydro,dean_smith,pepper_leaf,600,1000+,17,53,CO6,,F53,,PMMoV,,,1,1,,1,0,,C,0,C,C,C,N/A,N/A,N/A,N/A,N/A,N/A
9/22/2021,hydro,dean_smith,pepper_leaf,600,1000+,17,54,CO7,,F54,,PMMoV,,,1,1,,1,0,,C,0,C,C,C,N/A,N/A,N/A,N/A,N/A,N/A
9/22/2021,hydro,dean_smith,pepper_leaf,600,1000+,17,55,CO8,,F55,,,,,1,1,,0,0,,C,0,C,C,C,N/A,N/A,N/A,N/A,N/A,N/A
9/22/2021,hydro,dean_smith,pepper_leaf,600,1000+,17,56,CO9,,F56,,PMMoV,Round_1,,1,1,,1,0,,C,0,C,C,C,N/A,N/A,N/A,N/A,N/A,N/A
9/22/2021,hydro,dean_smith,pepper_leaf,600,1000+,17,57,CO10,,F57,,"PMMoV, PYDV",Round_1,,1,1,,1,0,,C,0,1,C,C,N/A,N/A,N/A,N/A,N/A,N/A
9/22/2021,hydro,dean_smith,pepper_leaf,600,1000+,17,58,CO11,,F58,,PMMoV,,,1,0,,1,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/22/2021,hydro,dean_smith,pepper_leaf,600,1000+,17,59,CO12,,F59,,,,,1,1,,0,0,,C,0,C,C,C,N/A,N/A,N/A,N/A,N/A,N/A
9/22/2021,hydro,dean_smith,pepper_leaf,600,1000+,17,60,CO13,,F60,,,,,1,1,,0,0,,C,0,C,C,C,N/A,N/A,N/A,N/A,N/A,N/A
9/22/2021,hydro,dean_smith,pepper_leaf,600,1000+,17,61,CO14,,F61,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/22/2021,hydro,dean_smith,pepper_leaf,600,1000+,17,62,CO15,,F62,,,Round_2,,1,1,,0,0,N/A,C,0,C,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A
9/22/2021,hydro,dean_smith,pepper_leaf,600,1000+,17,63,CO16,,F63,,,,,1,1,,0,0,,C,0,C,C,C,N/A,N/A,N/A,N/A,N/A,N/A
9/22/2021,hydro,dean_smith,pepper_leaf,600,1000+,17,64,CO17,,F64,,PYDV,Round_1,,1,0,,0,N/A,N/A,C,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,PMMoV,BCTV,CMV,AMV,TYLCV,PYDV,BWYV,PepYDV,Begomovirus,MCDV,Cap. Actin,BPEV,Pepper Cryptic,BCRSV
10/4/2021,Muskogee,arnetta,pepper_leaf,2,20-30,2,65,MK1,,F65,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/4/2021,Muskogee,arnetta,pepper_leaf,2,20-30,2,66,MK2,,F66,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,PMMoV,BCTV,CMV,AMV,TYLCV,PYDV,BWYV,PepYDV,Begomovirus,MCDV,Cap. Actin,BPEV,Pepper Cryptic,BCRSV
10/4/2021,Bixby,glenn,pepper_leaf,10-20,50-60,10,67,BX1,,F67,,,,,1,1,,0,0,,C,0,C,C,0,N/A,N/A,N/A,N/A,N/A,N/A
10/4/2021,Bixby,glenn,pepper_leaf,10-20,50-60,10,68,BX2,,F68,,BPEV,Round_1,,1,1,,0,0,,C,0,C,C,0,N/A,N/A,N/A,N/A,N/A,N/A
10/4/2021,Bixby,glenn,pepper_leaf,10-20,50-60,10,69,BX3,,F69,,,,,1,1,,0,0,,C,0,C,C,0,N/A,N/A,N/A,N/A,N/A,N/A
10/4/2021,Bixby,glenn,pepper_leaf,10-20,50-60,10,70,BX4,,F70,,,,,1,1,,0,0,,C,0,C,C,0,N/A,N/A,N/A,N/A,N/A,N/A
10/4/2021,Bixby,glenn,pepper_leaf,10-20,50-60,10,71,BX5,,F71,,,,,1,1,,0,0,,C,0,C,C,0,N/A,N/A,N/A,N/A,N/A,N/A
10/4/2021,Bixby,glenn,pepper_leaf,10-20,50-60,10,72,BX6,,F72,,,,,1,1,,0,0,,C,0,C,C,0,N/A,N/A,N/A,N/A,N/A,N/A
10/4/2021,Bixby,glenn,pepper_leaf,10-20,50-60,10,73,BX7,,F73,,,,,1,1,,0,0,,C,0,C,C,0,N/A,N/A,N/A,N/A,N/A,N/A
10/4/2021,Bixby,glenn,pepper_leaf,10-20,50-60,10,74,BX8,,F74,,,,,1,1,,0,0,,C,0,C,C,0,N/A,N/A,N/A,N/A,N/A,N/A
10/4/2021,Bixby,glenn,pepper_leaf,10-20,50-60,10,75,BX9,,F75,,BPEV,Round_1,,1,1,,0,0,,C,0,C,C,0,N/A,N/A,N/A,N/A,N/A,N/A
10/4/2021,Bixby,glenn,tomato_leaf,10-20,50-60,10,76,BX10,,F76,,TYLCV,,,1,1,,0,0,,C,1,C,C,0,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,PMMoV,BCTV,CMV,AMV,TYLCV,PYDV,BWYV,PepYDV,Begomovirus,MCDV,Cap. Actin,BPEV,Pepper Cryptic,BCRSV
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,77,CO1,,F77,,,,,1,1,,0,0,,C,C,C,C,C,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,78,CO2,,F78,,"PepYDV, BCTV, TVCV",Round_2,,1,1,,0,1,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,79,CO3,,F79,,PMMoV,Round_2,,1,0,,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,80,CO4,,F80,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,81,CO5,,F81,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,82,CO6,,F82,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,83,CO7,,F83,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,84,CO8,,F84,,"BCTV, TVCV",Round_2,,1,1,,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,85,CO9,,F85,,BCTV,,,1,1,,0,1,,C,C,C,C,C,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,86,CO10,,F86,,"BCTV, TVCV",Round_2,,1,1,,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,87,CO11,,F87,,"CMV, BCTV, BWYV,  TVCV",Round_2,,1,1,,0,1,,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,88,CO12,,F88,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,89,CO13,,F89,,TVCV,Round_2,,1,0,,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,90,CO14,,F90,,TVCV,Round_2,,1,1,,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,91,CO15,,F91,,"BCTV, TVCV",Round_2,,1,1,,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,92,CO16A,,F92,,"BCTV, TVCV",Round_2,,1,1,,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,93,CO16B,,F93,,BCTV,,,1,1,,0,1,,C,C,C,C,1,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,94,CO17,,F94,,BCTV,,,1,1,,0,1,,C,C,C,C,1,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,95,C018,,F95,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,96,C019,,F96,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,97,CO20,,F97,,TVCV,Round_2,,1,0,,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,98,CO21,,F98,,,,,1,1,,0,0,,C,C,C,C,0,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,99,CO22,,F99,,"CMV, AMV, BWYV",Round_2,,1,0,,0,N/A,,C,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,100,CO23,,F100,,TVCV,Round_2,,1,1,,0,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,101,CO24,,F101,,"CMV, BWYV",Round_2,,1,0,,0,N/A,,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,102,CO25,,F102,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,103,CO26,,F103,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,104,CO27,,F104,,"CMV, BWYV",Round_2,,1,0,,0,N/A,,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,105,CO28,,F105,,,,,1,1,,0,0,,C,C,C,C,0,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,106,CO29,,F106,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,107,CO30,,F107,,,,,1,0,,0,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,108,CO31,,F108,,BWYV,Round_2,,1,0,,0,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10/25/2021,hydro,dean_smith,pepper_leaf,600,1000+,40,109,CO32,,F109,,PMMoV,,,1,0,,1,N/A,,C,N/A,C,C,N/A,N/A,N/A,N/A,N/A,N/A,N/A
